film,rating,budget
Avatar,7.9,425000000
Star Wars Ep. VII: The Force Awakens,8.2,306000000
Pirates of the Caribbean: At World's End,7.1,300000000
Spectre,6.8,300000000
The Lone Ranger,6.5,275000000
John Carter,6.6,275000000
The Dark Knight Rises,8.4,275000000
Tangled,7.8,260000000
Spider-Man 3,6.2,258000000
Harry Potter and the Half-Blood Prince,7.5,250000000
The Hobbit: An Unexpected Journey,7.9,250000000
Pirates of the Caribbean: On Stranger Tides,6.7,250000000
The Hobbit: The Desolation of Smaug,7.9,250000000
The Hobbit: The Battle of the Five Armies,7.5,250000000
Avengers: Age of Ultron,7.5,250000000
Batman v Superman: Dawn of Justice,6.9,250000000
Captain America: Civil War,8.1,250000000
Superman Returns,6.1,232000000
Quantum of Solace,6.7,230000000
The Avengers,8.1,225000000
